station,phase,time
AXAS1,P,1715300286.92
AXAS1,P,1715302314.3
AXAS1,P,1715303023.0
AXAS1,P,1715308384.72
AXAS1,P,1715310290.96
AXAS1,P,1715315511.56
AXAS1,P,1715319169.26
AXAS1,P,1715319538.68
AXAS1,P,1715322361.7
AXAS1,P,1715328292.08
AXAS1,P,1715341526.96
AXAS1,P,1715346208.24
AXAS1,P,1715351953.02
AXAS1,P,1715352183.66
AXAS1,P,1715352358.04
AXAS1,P,1715352439.6
AXAS1,P,1715352553.96
AXAS1,P,1715352727.66
AXAS1,P,1715355197.98
AXAS1,P,1715356461.24
AXAS1,P,1715357368.34
AXAS1,P,1715358353.44
AXAS1,P,1715359209.8
AXAS1,P,1715359284.84
AXAS1,P,1715359375.8
AXAS1,P,1715359529.1
AXAS1,P,1715359759.18
AXAS1,P,1715360037.5
AXAS1,P,1715360617.88
AXAS1,P,1715361910.32
AXAS1,P,1715361973.98
AXAS1,P,1715361983.46
AXAS1,P,1715362262.68
AXAS1,P,1715363622.64
AXAS1,P,1715364050.9
AXAS1,P,1715364474.68
AXAS1,P,1715364648.06
AXAS1,P,1715364879.18
AXAS1,P,1715364954.34
AXAS1,P,1715365126.22
AXAS1,P,1715366551.24
AXAS1,P,1715367244.68
AXAS1,P,1715368526.84
AXAS1,P,1715370547.36
AXAS1,P,1715376216.76
AXAS1,P,1715376588.3
AXAS1,P,1715377526.84
AXAS1,P,1715379595.48
AXAS1,P,1715379711.38
AXAS1,P,1715379741.48
AXAS1,P,1715379963.06
AXAS1,P,1715381494.42
AXAS1,P,1715382858.64
AXAS1,P,1715384517.46
AXAS1,P,1715385408.64
AXAS2,P,1715300286.7
AXAS2,P,1715302313.9
AXAS2,P,1715303022.64
AXAS2,P,1715308383.68
AXAS2,P,1715315511.24
AXAS2,P,1715319168.96
AXAS2,P,1715321619.02
AXAS2,P,1715322361.14
AXAS2,P,1715328291.88
AXAS2,P,1715341526.6
AXAS2,P,1715346207.76
AXAS2,P,1715352439.16
AXAS2,P,1715352727.6
AXAS2,P,1715358353.18
AXAS2,P,1715359119.68
AXAS2,P,1715359210.1
AXAS2,P,1715359232.98
AXAS2,P,1715359285.22
AXAS2,P,1715359529.12
AXAS2,P,1715359759.36
AXAS2,P,1715360037.92
AXAS2,P,1715361973.78
AXAS2,P,1715361983.32
AXAS2,P,1715362262.84
AXAS2,P,1715364050.68
AXAS2,P,1715364474.88
AXAS2,P,1715364648.24
AXAS2,P,1715364879.38
AXAS2,P,1715364954.52
AXAS2,P,1715365126.58
AXAS2,P,1715365925.78
AXAS2,P,1715367244.92
AXAS2,P,1715376216.58
AXAS2,P,1715376588.8
AXAS2,P,1715377526.7
AXAS2,P,1715379711.18
AXAS2,P,1715379740.92
AXAS2,P,1715379962.64
AXBA1,P,1715323124.3
AXCC1,P,1715303023.1
AXCC1,P,1715308384.825
AXCC1,P,1715310291.725
AXCC1,P,1715315511.4
AXCC1,P,1715319169.1
AXCC1,P,1715323499.9750001
AXCC1,P,1715328292.3
